"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"43295099999","2012-01-01","12.9666666","77.5833333","921.0","BANGALORE, IN","  71.7"," 8","  60.8"," 8","9999.9"," 0","910.6"," 7","  4.3"," 8","  3.4"," 8","  8.0","999.9","  83.3"," ","  62.1"," "," 0.00","G","999.9","000000"
"43295099999","2012-01-02","12.9666666","77.5833333","921.0","BANGALORE, IN","  72.1"," 8","  60.1"," 8","9999.9"," 0","910.3"," 8","  3.9"," 8","  3.2"," 8","  6.0","999.9","  84.6"," ","  64.9"," "," 0.00","I","999.9","000000"
"43295099999","2012-01-03","12.9666666","77.5833333","921.0","BANGALORE, IN","  73.6"," 8","  61.9"," 8","9999.9"," 0","910.2"," 8","  4.2"," 8","  2.3"," 8","  4.1","999.9","  87.1"," ","  64.4"," "," 0.00","I","999.9","000000"
"43295099999","2012-01-04","12.9666666","77.5833333","921.0","BANGALORE, IN","  74.6"," 8","  61.0"," 8","9999.9"," 0","910.8"," 8","  3.9"," 8","  2.2"," 8","  4.1","999.9","  87.1"," ","  65.8"," "," 0.00","I","999.9","000000"
"43295099999","2012-01-05","12.9666666","77.5833333","921.0","BANGALORE, IN","  73.9"," 8","  61.3"," 8","9999.9"," 0","912.2"," 8","  3.9"," 8","  2.2"," 8","  2.9","999.9","  86.2"," ","  65.5"," "," 0.00","I","999.9","000000"
"43295099999","2012-01-06","12.9666666","77.5833333","921.0","BANGALORE, IN","  72.9"," 8","  59.2"," 8","9999.9"," 0","912.5"," 8","  3.9"," 8","  3.2"," 8","  5.1","999.9","  87.1"," ","  62.6"," "," 0.00","I","999.9","000000"
"43295099999","2012-01-07","12.9666666","77.5833333","921.0","BANGALORE, IN","  71.7"," 8","  57.7"," 8","9999.9"," 0","913.5"," 8","  3.7"," 8","  2.7"," 8","  4.1","999.9","  87.1"," ","  62.4"," "," 0.00","I","999.9","000000"
"43295099999","2012-01-08","12.9666666","77.5833333","921.0","BANGALORE, IN","  72.6"," 8","  61.4"," 8","9999.9"," 0","912.8"," 8","  3.4"," 8","  2.3"," 8","  4.1","999.9","  86.4"," ","  60.8"," "," 0.00","I","999.9","000000"
"43295099999","2012-01-09","12.9666666","77.5833333","921.0","BANGALORE, IN","  73.2"," 8","  60.6"," 8","9999.9"," 0","911.3"," 8","  3.9"," 8","  2.0"," 8","  4.1","999.9","  86.7"," ","  63.0"," "," 0.00","I","999.9","000000"
"43295099999","2012-01-10","12.9666666","77.5833333","921.0","BANGALORE, IN","  73.8"," 8","  62.0"," 8","9999.9"," 0","910.4"," 8","  3.9"," 8","  2.7"," 8","  4.1","999.9","  86.7"," ","  65.8"," "," 0.00","I","999.9","000000"
