date,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,temperature_c,tmax_c,tmin_c,precipitation_mm,temperature_c_interp
2019-01-01,43295099999.0,"BANGALORE, IN",12.9666666,77.5833333,921.0,20.27777777777778,27.61111111111111,14.000000000000002,,20.27777777777778
2019-01-02,43295099999.0,"BANGALORE, IN",12.9666666,77.5833333,921.0,19.88888888888889,28.111111111111107,12.388888888888888,,19.88888888888889
2019-01-03,43295099999.0,"BANGALORE, IN",12.9666666,77.5833333,921.0,20.222222222222225,27.61111111111111,13.11111111111111,,20.222222222222225
2019-01-04,43295099999.0,"BANGALORE, IN",12.9666666,77.5833333,921.0,20.833333333333332,28.5,13.277777777777779,,20.833333333333332
2019-01-05,43295099999.0,"BANGALORE, IN",12.9666666,77.5833333,921.0,20.38888888888889,28.61111111111111,13.61111111111111,,20.38888888888889
2019-01-06,43295099999.0,"BANGALORE, IN",12.9666666,77.5833333,921.0,20.555555555555557,28.388888888888886,14.722222222222221,,20.555555555555557
2019-01-07,43295099999.0,"BANGALORE, IN",12.9666666,77.5833333,921.0,20.72222222222222,28.61111111111111,14.722222222222221,,20.72222222222222
2019-01-08,43295099999.0,"BANGALORE, IN",12.9666666,77.5833333,921.0,21.333333333333336,29.27777777777778,15.222222222222221,,21.333333333333336
2019-01-09,43295099999.0,"BANGALORE, IN",12.9666666,77.5833333,921.0,21.333333333333336,29.61111111111111,13.222222222222221,,21.333333333333336
2019-01-10,43295099999.0,"BANGALORE, IN",12.9666666,77.5833333,921.0,21.11111111111111,30.38888888888889,14.5,,21.11111111111111
2019-01-11,43295099999.0,"BANGALORE, IN",12.9666666,77.5833333,921.0,21.38888888888889,29.72222222222222,14.5,,21.38888888888889
2019-01-12,43295099999.0,"BANGALORE, IN",12.9666666,77.5833333,921.0,21.38888888888889,29.72222222222222,15.277777777777779,,21.38888888888889
2019-01-13,43295099999.0,"BANGALORE, IN",12.9666666,77.5833333,921.0,21.5,28.77777777777778,14.277777777777779,,21.5
2019-01-14,43295099999.0,"BANGALORE, IN",12.9666666,77.5833333,921.0,20.666666666666668,30.27777777777778,14.5,,20.666666666666668
2019-01-15,43295099999.0,"BANGALORE, IN",12.9666666,77.5833333,921.0,21.166666666666664,29.27777777777778,12.277777777777779,,21.166666666666664
2019-01-16,43295099999.0,"BANGALORE, IN",12.9666666,77.5833333,921.0,21.444444444444443,29.5,14.5,,21.444444444444443
2019-01-17,43295099999.0,"BANGALORE, IN",12.9666666,77.5833333,921.0,21.722222222222218,29.5,15.5,,21.722222222222218
2019-01-18,43295099999.0,"BANGALORE, IN",12.9666666,77.5833333,921.0,21.722222222222218,29.72222222222222,15.777777777777779,,21.722222222222218
2019-01-19,43295099999.0,"BANGALORE, IN",12.9666666,77.5833333,921.0,21.833333333333332,29.0,14.277777777777779,,21.833333333333332
2019-01-20,43295099999.0,"BANGALORE, IN",12.9666666,77.5833333,921.0,21.27777777777778,30.27777777777778,13.722222222222223,,21.27777777777778
2019-01-21,43295099999.0,"BANGALORE, IN",12.9666666,77.5833333,921.0,21.22222222222222,28.61111111111111,14.777777777777779,,21.22222222222222
2019-01-22,43295099999.0,"BANGALORE, IN",12.9666666,77.5833333,921.0,20.444444444444443,29.22222222222222,14.000000000000002,,20.444444444444443
2019-01-23,43295099999.0,"BANGALORE, IN",12.9666666,77.5833333,921.0,22.277777777777775,29.11111111111111,16.22222222222222,,22.277777777777775
2019-01-24,43295099999.0,"BANGALORE, IN",12.9666666,77.5833333,921.0,23.111111111111107,29.61111111111111,17.72222222222222,,23.111111111111107
2019-01-25,43295099999.0,"BANGALORE, IN",12.9666666,77.5833333,921.0,23.277777777777782,30.22222222222222,17.22222222222222,,23.277777777777782
2019-01-26,43295099999.0,"BANGALORE, IN",12.9666666,77.5833333,921.0,23.277777777777782,30.0,18.77777777777778,,23.277777777777782
2019-01-27,43295099999.0,"BANGALORE, IN",12.9666666,77.5833333,921.0,23.22222222222222,30.22222222222222,19.0,,23.22222222222222
2019-01-28,43295099999.0,"BANGALORE, IN",12.9666666,77.5833333,921.0,22.77777777777778,30.0,18.61111111111111,,22.77777777777778
2019-01-29,43295099999.0,"BANGALORE, IN",12.9666666,77.5833333,921.0,21.944444444444443,29.61111111111111,17.72222222222222,0.7619999999999999,21.944444444444443
2019-01-30,43295099999.0,"BANGALORE, IN",12.9666666,77.5833333,921.0,22.11111111111111,27.38888888888889,17.22222222222222,0.0,22.11111111111111
2019-01-31,43295099999.0,"BANGALORE, IN",12.9666666,77.5833333,921.0,21.722222222222218,29.38888888888889,16.38888888888889,,21.722222222222218
2019-02-01,43295099999.0,"BANGALORE, IN",12.9666666,77.5833333,921.0,21.38888888888889,28.22222222222222,15.722222222222221,,21.38888888888889
2019-02-02,43295099999.0,"BANGALORE, IN",12.9666666,77.5833333,921.0,22.444444444444446,27.77777777777778,16.27777777777778,,22.444444444444446
2019-02-03,43295099999.0,"BANGALORE, IN",12.9666666,77.5833333,921.0,22.944444444444443,29.61111111111111,16.61111111111111,,22.944444444444443
2019-02-04,43295099999.0,"BANGALORE, IN",12.9666666,77.5833333,921.0,23.61111111111111,30.0,16.77777777777778,,23.61111111111111
2019-02-05,43295099999.0,"BANGALORE, IN",12.9666666,77.5833333,921.0,23.666666666666664,30.72222222222222,18.72222222222222,,23.666666666666664
2019-02-06,43295099999.0,"BANGALORE, IN",12.9666666,77.5833333,921.0,24.27777777777778,30.0,17.77777777777778,,24.27777777777778
2019-02-07,43295099999.0,"BANGALORE, IN",12.9666666,77.5833333,921.0,24.333333333333332,31.11111111111111,18.277777777777782,,24.333333333333332
2019-02-08,43295099999.0,"BANGALORE, IN",12.9666666,77.5833333,921.0,26.38888888888889,31.77777777777778,20.38888888888889,,26.38888888888889
2019-02-09,43295099999.0,"BANGALORE, IN",12.9666666,77.5833333,921.0,23.666666666666664,32.611111111111114,20.222222222222225,57.91199999999999,23.666666666666664
2019-02-10,43295099999.0,"BANGALORE, IN",12.9666666,77.5833333,921.0,24.111111111111114,31.27777777777778,19.111111111111114,,24.111111111111114
2019-02-11,43295099999.0,"BANGALORE, IN",12.9666666,77.5833333,921.0,23.055555555555557,29.72222222222222,19.61111111111111,,23.055555555555557
2019-02-12,43295099999.0,"BANGALORE, IN",12.9666666,77.5833333,921.0,22.77777777777778,28.111111111111107,17.22222222222222,,22.77777777777778
2019-02-13,43295099999.0,"BANGALORE, IN",12.9666666,77.5833333,921.0,23.055555555555557,29.0,17.27777777777778,,23.055555555555557
2019-02-14,43295099999.0,"BANGALORE, IN",12.9666666,77.5833333,921.0,24.555555555555557,30.38888888888889,17.22222222222222,,24.555555555555557
2019-02-15,43295099999.0,"BANGALORE, IN",12.9666666,77.5833333,921.0,25.222222222222225,31.61111111111111,19.0,,25.222222222222225
2019-02-16,43295099999.0,"BANGALORE, IN",12.9666666,77.5833333,921.0,25.38888888888889,31.61111111111111,20.72222222222222,,25.38888888888889
2019-02-17,43295099999.0,"BANGALORE, IN",12.9666666,77.5833333,921.0,26.333333333333336,32.72222222222222,21.27777777777778,,26.333333333333336
2019-02-18,43295099999.0,"BANGALORE, IN",12.9666666,77.5833333,921.0,25.72222222222222,32.611111111111114,19.222222222222218,,25.72222222222222
2019-02-19,43295099999.0,"BANGALORE, IN",12.9666666,77.5833333,921.0,26.77777777777778,34.0,21.999999999999996,,26.77777777777778
2019-02-20,43295099999.0,"BANGALORE, IN",12.9666666,77.5833333,921.0,25.38888888888889,32.77777777777778,20.500000000000004,,25.38888888888889
2019-02-21,43295099999.0,"BANGALORE, IN",12.9666666,77.5833333,921.0,25.055555555555554,32.111111111111114,18.22222222222222,,25.055555555555554
2019-02-22,43295099999.0,"BANGALORE, IN",12.9666666,77.5833333,921.0,24.944444444444446,31.38888888888889,17.61111111111111,,24.944444444444446
2019-02-23,43295099999.0,"BANGALORE, IN",12.9666666,77.5833333,921.0,25.11111111111111,32.611111111111114,15.5,,25.11111111111111
2019-02-24,43295099999.0,"BANGALORE, IN",12.9666666,77.5833333,921.0,25.777777777777782,34.0,16.5,,25.777777777777782
2019-02-25,43295099999.0,"BANGALORE, IN",12.9666666,77.5833333,921.0,26.555555555555557,34.611111111111114,17.22222222222222,,26.555555555555557
2019-02-26,43295099999.0,"BANGALORE, IN",12.9666666,77.5833333,921.0,26.22222222222222,35.5,20.777777777777782,,26.22222222222222
2019-02-27,43295099999.0,"BANGALORE, IN",12.9666666,77.5833333,921.0,26.27777777777778,34.5,21.27777777777778,,26.27777777777778
2019-02-28,43295099999.0,"BANGALORE, IN",12.9666666,77.5833333,921.0,26.444444444444443,33.0,20.500000000000004,,26.444444444444443
2019-03-01,43295099999.0,"BANGALORE, IN",12.9666666,77.5833333,921.0,26.333333333333336,33.77777777777778,21.27777777777778,,26.333333333333336
2019-03-02,43295099999.0,"BANGALORE, IN",12.9666666,77.5833333,921.0,25.944444444444443,33.5,21.722222222222218,,25.944444444444443
2019-03-03,43295099999.0,"BANGALORE, IN",12.9666666,77.5833333,921.0,26.055555555555557,32.111111111111114,20.500000000000004,,26.055555555555557
2019-03-04,43295099999.0,"BANGALORE, IN",12.9666666,77.5833333,921.0,27.77777777777778,32.388888888888886,21.0,0.0,27.77777777777778
2019-03-05,43295099999.0,"BANGALORE, IN",12.9666666,77.5833333,921.0,27.83333333333333,34.27777777777778,23.111111111111107,0.0,27.83333333333333
2019-03-06,43295099999.0,"BANGALORE, IN",12.9666666,77.5833333,921.0,28.111111111111107,34.77777777777778,22.722222222222225,,28.111111111111107
2019-03-07,43295099999.0,"BANGALORE, IN",12.9666666,77.5833333,921.0,28.388888888888886,36.388888888888886,20.500000000000004,,28.388888888888886
2019-03-08,43295099999.0,"BANGALORE, IN",12.9666666,77.5833333,921.0,28.333333333333332,37.0,21.77777777777778,,28.333333333333332
2019-03-09,43295099999.0,"BANGALORE, IN",12.9666666,77.5833333,921.0,27.444444444444446,35.888888888888886,22.5,,27.444444444444446
2019-03-10,43295099999.0,"BANGALORE, IN",12.9666666,77.5833333,921.0,28.000000000000004,34.0,22.77777777777778,,28.000000000000004
2019-03-11,43295099999.0,"BANGALORE, IN",12.9666666,77.5833333,921.0,27.83333333333333,34.111111111111114,23.111111111111107,,27.83333333333333
2019-03-12,43295099999.0,"BANGALORE, IN",12.9666666,77.5833333,921.0,27.277777777777775,34.611111111111114,21.5,,27.277777777777775
2019-03-13,43295099999.0,"BANGALORE, IN",12.9666666,77.5833333,921.0,26.611111111111114,34.0,19.72222222222222,,26.611111111111114
2019-03-14,43295099999.0,"BANGALORE, IN",12.9666666,77.5833333,921.0,27.16666666666667,33.77777777777778,19.72222222222222,,27.16666666666667
2019-03-15,43295099999.0,"BANGALORE, IN",12.9666666,77.5833333,921.0,27.333333333333332,34.27777777777778,20.222222222222225,,27.333333333333332
2019-03-16,43295099999.0,"BANGALORE, IN",12.9666666,77.5833333,921.0,26.166666666666664,34.111111111111114,19.0,,26.166666666666664
2019-03-17,43295099999.0,"BANGALORE, IN",12.9666666,77.5833333,921.0,26.611111111111114,33.27777777777778,18.72222222222222,,26.611111111111114
2019-03-18,43295099999.0,"BANGALORE, IN",12.9666666,77.5833333,921.0,26.77777777777778,34.27777777777778,20.38888888888889,,26.77777777777778
2019-03-19,43295099999.0,"BANGALORE, IN",12.9666666,77.5833333,921.0,27.722222222222225,34.22222222222222,21.22222222222222,,27.722222222222225
2019-03-20,43295099999.0,"BANGALORE, IN",12.9666666,77.5833333,921.0,27.666666666666668,35.0,23.000000000000004,,27.666666666666668
2019-03-21,43295099999.0,"BANGALORE, IN",12.9666666,77.5833333,921.0,27.88888888888889,34.27777777777778,22.722222222222225,,27.88888888888889
